waypoint_idx,wp_x,wp_y,wp_z,link_id,link_point_idx,link_x,link_y,link_z,error_m
68,-115.156237880838,-398.621892989181,28.5456000855492,A2256W000748,60415,-115.15623788083805,-398.6218929891814,28.545600085549168,4.001813022207649e-13
69,-114.913502738833,-398.18476641667,28.5454979084104,A2256W000748,60416,-114.9135027388327,-398.1847664166701,28.545497908410404,3.037933755426813e-13
70,-114.67057230011,-397.747748411976,28.5457538678224,A2256W000748,60417,-114.67057230010965,-397.7477484119762,28.545753867822352,4.0990372275064023e-13
71,-114.427641861387,-397.310730407282,28.5460098272343,A2256W000748,60418,-114.4276418613866,-397.31073040728234,28.5460098272343,5.240704272917405e-13
72,-114.184711422664,-396.873712402588,28.5462657866462,A2256W000748,60419,-114.18471142266355,-396.87371240258847,28.54626578664625,6.331410250466394e-13
73,-113.941780983941,-396.436694397895,28.5465217460582,A2256W000748,60420,-113.9417809839405,-396.4366943978946,28.546521746058197,6.369570778308278e-13
74,-113.698850545217,-395.999676393201,28.5467777054701,A2256W000748,60421,-113.69885054521745,-395.99967639320073,28.546777705470145,5.362597410144533e-13
75,-113.455920106494,-395.562658388507,28.5470336648821,A2256W000748,60422,-113.4559201064944,-395.56265838850686,28.547033664882093,4.1382633578908315e-13
76,-113.211100791137,-395.126695846686,28.5466275159465,A2256W000748,60423,-113.21110079113706,-395.1266958466859,28.546627515946533,1.2710574864626038e-13
77,-112.96628147578,-394.690733304865,28.546221367011,A2256W000748,60424,-112.96628147577971,-394.6907333048649,28.546221367010972,2.898457019905882e-13
78,-112.721462160422,-394.254770763044,28.5458152180754,A2256W000748,60425,-112.72146216042236,-394.25477076304395,28.54581521807541,3.5979010423182454e-13
79,-112.476642845065,-393.818808221223,28.5454090691399,A2256W000748,60426,-112.47664284506502,-393.818808221223,28.54540906913985,1.4210854715202004e-14
80,-112.231823529708,-393.382845679402,28.5450029202043,A2256W000748,60427,-112.23182352970767,-393.382845679402,28.54500292020429,3.268496584496461e-13
81,-111.98700421435,-392.946883137581,28.5445967712687,A2256W000748,60428,-111.98700421435032,-392.94688313758104,28.54459677126873,3.3175574372787515e-13
82,-111.742184898993,-392.51092059576,28.5441906223332,A2256W000748,60429,-111.74218489899297,-392.51092059576007,28.54419062233317,6.355287432313019e-14
83,-111.49993991691,-392.073522418638,28.5437397276003,A2256W000748,60430,-111.49993991691014,-392.0735224186381,28.543739727600315,1.8198773652309366e-13
84,-111.257694934827,-391.636124241516,28.5432888328675,A2256W000748,60431,-111.2576949348273,-391.63612424151614,28.54328883286746,3.43714720612747e-13
85,-111.015449952744,-391.198726064394,28.5428379381346,A2256W000748,60432,-111.01544995274446,-391.1987260643942,28.542837938134607,4.856703836433968e-13
86,-110.773204970662,-390.761327887272,28.5423870434018,A2256W000748,60433,-110.77320497066162,-390.7613278872722,28.542387043401753,4.3383856571136184e-13
87,-110.530959988579,-390.32392971015,28.5419361486689,A2256W000748,60434,-110.53095998857879,-390.32392971015025,28.5419361486689,3.1166837572216805e-13
88,-110.288715006496,-389.886531533028,28.541485253936,A2256W000748,60435,-110.28871500649595,-389.8865315330283,28.541485253936045,2.898457019905882e-13
