waypoint_idx,x,y,right_ok,left_ok,ego_lane,road_width,link_id
297,-123.357,-308.639,0,0,1,3.50,A2256W000329
298,-123.112,-308.203,0,0,1,3.50,A2256W000329
299,-122.867,-307.767,0,0,1,3.50,A2256W000329
300,-122.622,-307.331,0,0,1,3.50,A2256W000329
301,-122.377,-306.895,0,0,1,3.50,A2256W000329
302,-122.133,-306.459,0,0,1,3.50,A2256W000329
303,-121.888,-306.023,0,0,1,3.50,A2256W000329
304,-121.644,-305.587,0,0,1,3.50,A2256W000329
305,-121.399,-305.151,0,0,1,3.50,A2256W000329
306,-121.155,-304.714,0,0,1,3.50,A2256W000329
307,-120.910,-304.278,0,0,1,3.50,A2256W000329
308,-120.666,-303.842,0,0,1,3.50,A2256W000329
309,-120.421,-303.406,0,0,1,3.50,A2256W000329
310,-120.176,-302.970,0,0,1,3.50,A2256W000329
311,-119.932,-302.534,0,0,1,3.50,A2256W000329
312,-119.687,-302.098,0,0,1,3.50,A2256W000329
313,-119.443,-301.662,0,0,1,3.50,A2256W000329
314,-119.199,-301.225,0,0,1,3.50,A2256W000329
315,-118.954,-300.789,0,0,1,3.50,A2256W000329
316,-118.710,-300.353,0,0,1,3.50,A2256W000329
317,-118.466,-299.917,0,0,1,3.50,A2256W000329
318,-118.222,-299.480,0,0,1,3.50,A2256W000329
319,-117.978,-299.044,0,0,1,3.50,A2256W000329
320,-117.734,-298.607,0,0,1,3.50,A2256W000329
321,-117.490,-298.171,0,0,1,3.50,A2256W000329
322,-117.462,-298.122,0,0,1,3.50,A2256W000329
323,-117.222,-297.684,0,0,1,3.50,A2256W000236
324,-116.982,-297.246,0,0,1,3.50,A2256W000236
325,-116.742,-296.808,0,0,1,3.50,A2256W000236
326,-116.499,-296.371,0,0,1,3.50,A2256W000236
327,-116.257,-295.934,0,0,1,3.50,A2256W000236
328,-116.014,-295.496,0,0,1,3.50,A2256W000236
329,-115.772,-295.059,0,0,1,3.50,A2256W000236
330,-115.529,-294.622,0,0,1,3.50,A2256W000236
331,-115.286,-294.185,0,0,1,3.50,A2256W000236
332,-115.044,-293.748,0,0,1,3.50,A2256W000236
333,-114.801,-293.310,0,0,1,3.50,A2256W000236
334,-114.559,-292.873,0,0,1,3.50,A2256W000236
335,-114.316,-292.436,0,0,1,3.50,A2256W000236
336,-114.074,-291.999,0,0,1,3.50,A2256W000236
337,-113.831,-291.562,0,0,1,3.50,A2256W000236
338,-113.588,-291.125,0,0,1,3.50,A2256W000236
339,-113.346,-290.687,0,0,1,3.50,A2256W000236
340,-113.103,-290.250,0,0,1,3.50,A2256W000236
341,-112.860,-289.813,0,0,1,3.50,A2256W000236
342,-112.618,-289.376,0,0,1,3.50,A2256W000236
343,-112.375,-288.939,0,0,1,3.50,A2256W000236
344,-112.132,-288.502,0,0,1,3.50,A2256W000236
345,-111.890,-288.065,0,0,1,3.50,A2256W000236
346,-111.647,-287.627,0,0,1,3.50,A2256W000236
347,-111.404,-287.190,0,0,1,3.50,A2256W000236
348,-111.161,-286.753,0,0,1,3.50,A2256W000236
349,-110.919,-286.316,0,0,1,3.50,A2256W000236
350,-110.676,-285.879,0,0,1,3.50,A2256W000236
351,-110.433,-285.442,0,0,1,3.50,A2256W000236
352,-110.191,-285.005,0,0,1,3.50,A2256W000236
353,-109.948,-284.568,0,0,1,3.50,A2256W000236
354,-109.705,-284.130,0,0,1,3.50,A2256W000236
355,-109.462,-283.693,0,0,1,3.50,A2256W000236
356,-109.220,-283.256,0,0,1,3.50,A2256W000236
357,-108.977,-282.819,0,0,1,3.50,A2256W000236
358,-108.734,-282.382,0,0,1,3.50,A2256W000236
359,-108.492,-281.945,0,0,1,3.50,A2256W000236
360,-108.249,-281.508,0,0,1,3.50,A2256W000236
361,-108.006,-281.070,0,0,1,3.50,A2256W000236
362,-107.764,-280.633,0,0,1,3.50,A2256W000236
363,-107.521,-280.196,0,0,1,3.50,A2256W000236
364,-107.278,-279.759,0,0,1,3.50,A2256W000236
